Name,IF,IFDenseRank,IFMinRank
algorithm,84805.28604072859,1.0,1.0
processor,73925.19657928213,2.0,2.0
cluster,73781.6917653767,3.0,3.0
dimens,70374.02832258644,4.0,4.0
label,65490.66367438418,5.0,5.0
critic,64083.467990946636,6.0,6.0
larg,59427.75898355646,7.0,7.0
parallel,59287.18386953404,8.0,8.0
approach,54931.7786397844,9.0,9.0
method,54530.68173281321,10.0,10.0
time,53705.36136719242,11.0,11.0
cluster-label,53613.77892888843,12.0,12.0
dynam,53402.90516781953,13.0,13.0
spin,52743.41670956134,14.0,14.0
statist,51990.688184138126,15.0,15.0
intel,49141.73939092588,16.0,16.0
evalu,48507.4884053574,17.0,17.0
connect-compon-label,48352.27764326305,18.0,18.0
surfac-areatovolum-ratio,46520.38874779524,19.0,19.0
implement,45999.94391549961,20.0,20.0
swendsonwang-algorithm,44760.445857065664,21.0,21.0
multigrid,44752.350754879015,22.0,22.0
parallel-algorithm,44288.29068022727,23.0,23.0
hypercub,44137.505018266296,24.0,24.0
field,43665.0804867379,25.0,25.0
swendsonwang-dynam,43649.21712778509,26.0,26.0
tion,43565.8419137086,27.0,27.0
high,43561.9202122953,28.0,28.0
perform,42684.709145163346,29.0,29.0
compon-label-algorithm,42674.17824779405,30.0,30.0
optim-import,42663.64537917561,31.0,31.0
ise-model-swendsonwang,42270.533117670704,32.0,32.0
vector,41915.016773785814,33.0,33.0
cluster-identif-algorithm,41552.310717915265,34.0,34.0
hypercub-multiprocessor,41548.137317141925,35.0,35.0
optim,40984.34744513353,36.0,36.0
commun,40194.49174041847,37.0,37.0
field-theori,40113.06618092782,38.0,38.0
percol,39971.082092948716,39.0,39.0
paralleliza,39971.082092948716,39.0,39.0
nonunivers,39971.082092948716,39.0,39.0
distribut-memori-multiprocessor,39971.082092948716,39.0,39.0
parallel-cluster-label,39971.082092948716,39.0,39.0
lation,39971.082092948716,39.0,39.0
ise-model-perform,39971.082092948716,39.0,39.0
mont-carlo-simu,39971.082092948716,39.0,39.0
algorithm-cluster-format,39971.082092948716,39.0,39.0
simul-ise-model,39971.082092948716,39.0,39.0
share,39971.082092948716,39.0,39.0
scheme,39971.082092948716,39.0,39.0
ipsc,39971.082092948716,39.0,39.0
cluster-identif-distribut,39971.082092948716,39.0,39.0
memori-multiprocessor,39971.082092948716,39.0,39.0
geometr-connect-compon,39971.082092948716,39.0,39.0
spin-model-sequenti,39971.082092948716,39.0,39.0
ise-model-multigrid,39971.082092948716,39.0,39.0
number,38542.02449422983,40.0,57.0
comput,38351.09418685412,41.0,58.0
crystal,38012.00402561462,42.0,59.0
lattic,36510.06406100157,43.0,60.0
present,36501.501826919644,44.0,61.0
list,36259.84109264114,45.0,62.0
gener,34518.19932729618,46.0,63.0
structur,34259.93451110618,47.0,64.0
order,33575.27960256792,48.0,65.0
problem,33273.44003416965,49.0,66.0
section,33103.936792497385,50.0,67.0
local,32353.703172593123,51.0,68.0
result,31967.364325483228,52.0,69.0
dimension,31485.61637531621,53.0,70.0
grow,31408.6343248885,54.0,71.0
stage,31198.318543385816,55.0,72.0
system,30646.511120514086,56.0,73.0
merg,30346.9089703212,57.0,74.0
site,30059.866252277763,58.0,75.0
obtain,28985.29887935313,59.0,76.0
spatial,28544.361992317114,60.0,77.0
global,27568.36453409247,61.0,78.0
effect,27555.519169202165,62.0,79.0
inform,27269.887175220047,63.0,80.0
subcrit,27245.240841372593,64.0,81.0
border,27189.65068414524,65.0,82.0
linear,27118.793451961443,66.0,83.0
model,27046.256882067002,67.0,84.0
merg-cluster,26893.828387154877,68.0,85.0
supercrit,26469.116409580984,69.0,86.0
ideal,26074.595359155002,70.0,87.0
iter,25956.837318321523,71.0,88.0
work,25947.91130419662,72.0,89.0
spars,25775.573146556148,73.0,90.0
larger,25616.78429562799,74.0,91.0
inform-region-border,25589.39551141961,75.0,92.0
figur,25384.412019921976,76.0,93.0
sequenti-label-algorithm,25265.298545705962,77.0,94.0
lparx,24721.43860728448,78.0,95.0
requir,24324.76865080279,79.0,96.0
algorithm-perform,24291.864227436363,80.0,97.0
border-inform-region,24112.699445057246,81.0,98.0
depend,23938.51969124097,82.0,99.0
straightforward,23786.632144715404,83.0,100.0
region,23568.712200034577,84.0,101.0
paragon,23502.572042080614,85.0,102.0
optim-optim,23471.96548821984,86.0,103.0
version,23361.362673638665,87.0,104.0
parallel-process,23303.421934994858,88.0,105.0
workstat,23303.421934994858,88.0,105.0
consist,22957.534684383663,89.0,107.0
architectur,22881.799110380456,90.0,108.0
border-list,22820.662139425298,91.0,109.0
interest,22715.55097073391,92.0,110.0
increas,22638.458949649208,93.0,111.0
messag,22528.088800114227,94.0,112.0
domain,22485.577514230114,95.0,113.0
breakdown,22437.955763281396,96.0,114.0
reach,22251.021679229118,97.0,115.0
