Name,IF,IFDenseRank,IFMinRank
model,36507.71341463415,1.0,1.0
mechan,33210.0133037694,2.0,2.0
round-trip-time,28189.1784338896,3.0,3.0
trac,27982.392195121953,4.0,4.0
behavior,26346.17073170732,5.0,5.0
timescal,24661.147450110868,6.0,6.0
local-hurst-paramet,23507.408536585368,7.0,7.0
estim,23132.24243902439,8.0,8.0
larger,23033.139481707316,9.0,9.0
result,22932.453658536586,10.0,10.0
packet,22799.20975609756,11.0,11.0
observ,21991.173658536587,12.0,12.0
analyz,21736.141906873614,13.0,13.0
valu,21551.722721437738,14.0,14.0
protocol,21444.96341463415,15.0,15.0
selfsimilar,20851.994348602024,16.0,16.0
trace,20299.99024390244,17.0,17.0
internet,19719.08477096966,18.0,18.0
note,19700.57926829268,19.0,19.0
rang,19307.98844672657,20.0,20.0
gener,18745.779298036883,21.0,21.0
data,18712.217294900223,22.0,22.0
timeout,18670.634146341465,23.0,23.0
provid,18645.80487804878,24.0,24.0
investig,18561.865040650406,25.0,25.0
demonstr,18544.99593495935,26.0,26.0
simul,18324.435010805802,27.0,27.0
link,18262.205574912892,28.0,28.0
applic,18065.258774538965,29.0,29.0
network,17930.119635690025,30.0,30.0
traffic,17902.61064842356,31.0,31.0
congest-avoid-model,17841.310975609755,32.0,32.0
probabl,17641.15156794425,33.0,33.0
author,17602.061483739835,34.0,34.0
dierent,17600.79268292683,35.0,35.0
measur,17538.50174216028,36.0,36.0
perform,17264.461672473866,37.0,37.0
loss,16956.38994646044,38.0,38.0
structur,16954.39024390244,39.0,39.0
paramet,16794.36585365854,40.0,40.0
correl,16573.508179654968,41.0,41.0
size,16472.052264808364,42.0,42.0
present,16284.963414634147,43.0,43.0
analysi,16264.303539559787,44.0,44.0
scale,16137.018143961926,45.0,45.0
function,16102.815734681737,46.0,46.0
tcp-reno,16089.949434860206,47.0,47.0
work,15991.173054587689,48.0,48.0
time,15924.758923259966,49.0,49.0
simpl,15874.381533101043,50.0,50.0
state,15821.280487804877,51.0,51.0
exhibit-pseudo-selfsimilar,15589.954123112659,52.0,52.0
show,15547.989268292684,53.0,53.0
notic,15350.871080139372,54.0,54.0
claim,15332.984901277583,55.0,55.0
traffic-model,15282.580309339679,56.0,56.0
pseudoselfsimilar,15282.580309339679,56.0,56.0
stochast-model,15282.580309339679,56.0,56.0
autocorrel-structur-tcp,15266.313355145747,57.0,59.0
congest-avoid-mechan,15266.268292682927,58.0,60.0
window,15176.319640564827,59.0,61.0
figur,15058.10243902439,60.0,62.0
point,14934.698536585367,61.0,63.0
assum,14612.158536585366,62.0,64.0
daniel,14608.979179060083,63.0,65.0
congest-avoid-control,14608.979179060083,63.0,65.0
bing-wang-jim,14608.979179060083,63.0,65.0
kuros-prashant-shenoy,14608.979179060083,63.0,65.0
stream-tcp-analyt,14608.979179060083,63.0,65.0
perform-evalu-juli,14608.979179060083,63.0,65.0
dovroli,14608.979179060083,63.0,65.0
titl,14608.979179060083,63.0,65.0
feldmann,14608.979179060083,63.0,65.0
acm-sigmetr-perform,14608.979179060083,63.0,65.0
perform-studi,14608.979179060083,63.0,65.0
jiang,14608.979179060083,63.0,65.0
willing,14608.979179060083,63.0,65.0
vishal-misra-don,14608.979179060083,63.0,65.0
walter,14608.979179060083,63.0,65.0
anja,14608.979179060083,63.0,65.0
figueiredo,14608.979179060083,63.0,65.0
don-towsley-multimedia,14608.979179060083,63.0,65.0
evalu-review-june,14608.979179060083,63.0,65.0
constantino,14608.979179060083,63.0,65.0
bursti,14608.979179060083,63.0,65.0
benyuan,14608.979179060083,63.0,65.0
towsley,14608.979179060083,63.0,65.0
short,14608.979179060083,63.0,65.0
chain,14559.39262343843,64.0,89.0
transport-protocol,14526.93292682927,65.0,90.0
