Name,IF,IFDenseRank,IFMinRank
radau-iia-method,64697.85485435283,1.0,1.0
appli-index-dae,60127.95870607205,2.0,2.0
comput,57560.323563614875,3.0,3.0
equat,52320.497224527346,4.0,4.0
system,49424.75454005797,5.0,5.0
method,48454.75880132294,6.0,6.0
irisa-improv-converg,47497.857624006276,7.0,7.0
section,47255.315686388974,8.0,8.0
function,44826.239534353575,9.0,9.0
techniqu,43979.193307796115,10.0,10.0
step,42491.74093656259,11.0,11.0
solv,41405.33052645573,12.0,12.0
problem,41026.03898082014,13.0,13.0
solut,40563.76286036037,14.0,14.0
zcompon,39719.07986050937,15.0,15.0
order,39361.29414193517,16.0,16.0
compon,38561.03946324282,17.0,17.0
requir,35916.028883264764,18.0,18.0
coeffici,35034.227870519535,19.0,19.0
gamma,34889.861252121475,20.0,20.0
shown,34275.906967291354,21.0,21.0
vector,34004.723628083855,22.0,22.0
case,33875.656464972824,23.0,23.0
form,33793.29210430649,24.0,24.0
addit,33743.27694731396,25.0,25.0
numer-solut,32935.40151629264,26.0,26.0
gener,32427.838468760627,27.0,27.0
equal,32065.571264774866,28.0,28.0
satisfi,31782.66434132594,29.0,29.0
accur,31758.72694124902,30.0,30.0
proof,30097.338091962938,31.0,31.0
call,29882.242047046897,32.0,32.0
appli,29862.809161584944,33.0,33.0
composit,29640.582079153162,34.0,34.0
proposit,29507.45238593423,35.0,35.0
idea,29377.06020197695,36.0,36.0
fact,29340.580487890693,37.0,37.0
result,28959.214382530485,38.0,38.0
obtain,28319.912225207452,39.0,39.0
stage-radau-iia,27936.35404793573,40.0,40.0
versu-comput-time,27524.99827317556,41.0,41.0
radau-figur-precis,27524.99827317556,41.0,41.0
signific-digit-modifi,27524.99827317556,41.0,41.0
converg-rate-newton,27450.581534737623,42.0,44.0
forc,26217.463274369064,43.0,45.0
numer,26101.89194529534,44.0,46.0
algebra,26053.973406799694,45.0,47.0
matter,25831.368939088537,46.0,48.0
order-reduct-phenomenon,25641.953735857373,47.0,49.0
overcom,25641.953735857373,47.0,49.0
theorem,25530.644345078636,48.0,51.0
suffici,25436.024132951625,49.0,52.0
index-formul,25317.62087575752,50.0,53.0
mechan,25088.174291222,51.0,54.0
import,25070.090347547277,52.0,55.0
constraint,24996.179810332356,53.0,56.0
matrix,24972.335037888595,54.0,57.0
small,24959.481832924575,55.0,58.0
iter-small,24922.250996633127,56.0,59.0
subroutin,24880.145421608646,57.0,60.0
evalu,24859.076086391917,58.0,61.0
increas-order-converg,24833.19974331222,59.0,62.0
code,24599.29245444754,60.0,63.0
consist-initi-valu,24537.660554411523,61.0,64.0
show,24227.348097257993,62.0,65.0
approxim,24164.285520825695,63.0,66.0
consist,24091.567810836994,64.0,67.0
format,23619.55735321926,65.0,68.0
depend,23580.229620935366,66.0,69.0
exhibit,23486.424698702154,67.0,70.0
order-converg-theorem,23486.424698702154,67.0,70.0
full,23486.424698702154,67.0,70.0
possibl,23486.424698702154,67.0,70.0
speak,23486.424698702154,67.0,70.0
order-converg-gamma,23486.424698702154,67.0,70.0
compos,23460.083158012076,68.0,76.0
notat,23429.501346938774,69.0,77.0
implicit,23087.41412270636,70.0,78.0
radau,22898.684942248743,71.0,79.0
smooth,22668.66061031145,72.0,80.0
consider,22467.84927222786,73.0,81.0
longer,22467.84927222786,73.0,81.0
drawback,22467.84927222786,73.0,81.0
costli,22467.84927222786,73.0,81.0
manifold,22467.84927222786,73.0,81.0
jacobian,22467.84927222786,73.0,81.0
unknown,22431.330167032753,74.0,87.0
page,21883.245833603036,75.0,88.0
introduc-vector,21813.51028183463,76.0,89.0
equat-ident-satisfi,21504.857673044266,77.0,90.0
section-equat,21386.30147182489,78.0,91.0
modifi,21146.873378774373,79.0,92.0
input,21146.40778761076,80.0,93.0
soloutz,20672.473302719856,81.0,94.0
initi,20474.291339952146,82.0,95.0
descript,20467.18154156526,83.0,96.0
basic,20104.76085639595,84.0,97.0
ngamma,20063.68608551388,85.0,98.0
socal,20047.25793041882,86.0,99.0
recal,19912.09676101673,87.0,100.0
tree,19855.967295575825,88.0,101.0
index,19632.854440478106,89.0,102.0
calculu,19595.889207166696,90.0,103.0
conveni,19299.622815655428,91.0,104.0
formula,19257.53612034491,92.0,105.0
numer-experi,19099.67510981033,93.0,106.0
approxim-form,19075.1863023419,94.0,107.0
vector-satisfi-linear,19075.1863023419,94.0,107.0
sstage-radau-iia,18987.67786845643,95.0,109.0
explain,18664.624634600572,96.0,110.0
solver,18447.78486296911,97.0,111.0
dassl,18447.78486296911,97.0,111.0
time-number-signific,18167.352372845053,98.0,113.0
figur-plot-cpu,18167.352372845053,98.0,113.0
uniqu,18086.089953054932,99.0,115.0
approach,17984.62770443361,100.0,116.0
properti,17926.665420920275,101.0,117.0
linear,17783.396268375724,102.0,118.0
error,17752.861245058448,103.0,119.0
paramet,17622.58039530954,104.0,120.0
construct-vector,17468.006409933034,105.0,121.0
variabl,17331.58891844256,106.0,122.0
pendulum,17236.129630353353,107.0,123.0
nonsingular,17225.817796574498,108.0,124.0
tabl,16978.927323935473,109.0,125.0
expand,16932.50918323162,110.0,126.0
hidden,16899.386271650324,111.0,127.0
project,16899.386271650324,111.0,127.0
order-condit-tree,16887.464073071034,112.0,129.0
output-requir,16855.599829437288,113.0,130.0
part,16469.131363246433,114.0,131.0
refer,16419.406507058007,115.0,132.0
order-converg-ycompon,16392.61901573513,116.0,133.0
system-equival,16262.954157695773,117.0,134.0
simplifi,16214.043907624464,118.0,135.0
result-stage-method,16085.220080822439,119.0,136.0
system-take-lead,16085.220080822439,119.0,136.0
method-satisfi-linear,16085.220080822439,119.0,136.0
idem,16073.561255934032,120.0,139.0
defin,16070.86902109129,121.0,140.0
polynomi,16038.143366573893,122.0,141.0
valu,15732.602950616127,123.0,142.0
rungekutta-method,15661.013717634583,124.0,143.0
increas,15651.759838578462,125.0,144.0
code-radau-lead,15651.759838578462,125.0,144.0
accuraci,15651.759838578462,125.0,144.0
algebra-compon-toler,15651.759838578462,125.0,144.0
fifthord,15633.675562351258,126.0,148.0
