,Old_WScore,Position_Weight,SCScore,Words
119,27259.310234881494,1.0789282001995504,29410.838530401874,semant
204,22072.00340099904,0.5022376971269471,11085.392159095903,real-time-concurr
128,26621.95940057392,0.386173146183322,10280.685819284296,control
63,33351.59515185288,0.24698387012726425,8237.306045522328,concurr-control-techniqu
49,34310.70169604257,0.20655892195340855,7087.181553799539,paper
34,37076.3085673658,0.1792377011591269,6645.472315081088,describ
4,51677.782785902666,0.1070888247643085,5534.113024967529,techniqu
32,37732.58567846196,0.13751978753841093,5188.977165776976,support
1,58345.89484536082,0.07845026259911632,4577.250772198983,defin
57,33867.934424487205,0.11296617726593494,3825.931083827682,transact
29,38689.63170991824,0.0795950637097742,3079.503700858643,trade
81,30636.46723122238,0.098539149658243,3018.8914294972797,logic-consist-tempor
191,22752.345201402914,0.13165296148805491,2995.4136265632287,real-time-object
594,11646.503780068728,0.25,2911.625945017182,bound-imprecis-abstractthi
56,33892.75055797641,0.08021997816148413,2718.8757095934966,object
202,22115.219683281965,0.11793002551237562,2608.0484214612334,orient-databas
43,35870.149155516556,0.07241311942367423,2597.469394543428,semant-lock-mechan
135,26092.992241470933,0.09207701072712138,2402.564726520614,consist
113,27529.345520246567,0.08149143710924445,2243.4059291218337,system
39,36193.29344624448,0.055915358292463614,2023.7609708310354,user
55,34012.6976873781,0.057579082994261795,1958.41994300028,correct
0,62527.325210871604,0.031107576359977115,1945.0735435823105,method
15,43226.804123711336,0.042354000006237645,1830.8280621253034,serializ
131,26294.18641726006,0.06713416559839851,1765.2382652114977,real-time-databas
27,39393.08028741018,0.04224386963771787,1664.116148289509,result
61,33521.74020618557,0.049460979163871766,1658.0180938748667,method-object
35,36858.61958762886,0.042140819250475504,1553.2524258643039,accumul
53,34230.64432989692,0.04476335726138595,1532.278561426611,precis
21,40546.30643441167,0.03715836110173056,1506.6342958312903,guarante
104,28420.492507173978,0.04793827308083755,1362.4293309008035,data
8,47078.87766323023,0.02858453556001631,1345.7278526902621,amount
31,38573.68372606774,0.034408592198127065,1327.2661529097954,show
94,29302.778159602894,0.04449584010332983,1303.851731573036,tempor-consist-requir
17,41723.18417386459,0.031161876771118553,1300.172723724652,allow
41,36105.30175536362,0.034821512258329294,1257.2412076650724,order
14,44499.38367233213,0.028082211832569922,1249.641118705234,restrict
379,16026.762886597939,0.07692307692307693,1232.8279143536877,bound-imprecis-result
161,24744.80495959878,0.04917462882583438,1216.8165992559357,condit-compat
46,35633.675118417385,0.0331118397611147,1179.8965406206564,instanc
6,49038.1649484536,0.023921150369684056,1173.0493175853287,constraint
106,28118.28355829525,0.041213571244871454,1158.8548827132988,read
123,26951.688342585254,0.04028552966930616,1085.7630403631113,logic-imprecis
114,27525.76494845361,0.039213298647626425,1079.3760414280787,preserv
30,38669.701325478636,0.02790815720031098,1079.2001034805317,involv
85,30292.83357879234,0.035134931103599415,1064.3366207236718,gener-restrict
12,45558.91780440235,0.02310632174718526,1052.6990132420879,design
5,50849.71649484537,0.020284532771741644,1031.4627406734626,valu
158,24868.71612286109,0.04089655588369419,1017.0448386743152,bound
67,32769.79381443299,0.031021677321894918,1016.5739696163682,form
2,52470.95657606998,0.019211474831698296,1008.0444616563026,attribut
3,51870.57803057233,0.017883907071012027,927.6485972184336,section
16,42766.704979162096,0.020782093409689017,888.7816577015591,imprecis
42,36084.37326697476,0.02444850888489527,882.2091204235098,schedul
18,41333.38824303576,0.020864296291136203,862.3920590192638,lock
290,18771.80618556701,0.04468781470292044,838.8709964597543,sacrific
130,26379.814432989693,0.031079015835113397,819.8586704902395,consid
183,23393.166117547033,0.03400023059317748,795.3730423011054,object-orient-databas
96,29119.885253249664,0.026879450266265714,782.7265074240887,data-tempor-consist
22,40136.42323767066,0.019192113116897818,770.3027748850614,requir
13,45249.70632488158,0.016765379163288876,758.6284835641105,semant-lock-techniqu
19,41289.81177253076,0.01809937808429237,747.3199143003004,present
10,45996.78350515463,0.01590074551272807,731.3831489195119,tempor
164,24588.281432670843,0.02956389427187167,726.9253526025061,applic
79,30671.641125661747,0.023555837978238157,722.4962088827543,block
50,34291.78429817605,0.020796103067873727,713.135480646163,transact-execut
7,47205.491673275166,0.015032475172407186,709.615381579783,maintain
9,47044.779847023616,0.014833668136664915,697.84665181321,model
74,30984.851958762887,0.020781121961345957,643.8999875093008,data-item
93,29303.47273886704,0.02185371263523628,640.3896724496806,express
200,22310.220206185568,0.028464582551371305,635.0511047982412,global
52,34251.637639833294,0.01814648229254361,621.5467359218551,execut
75,30936.04888936125,0.019625602713171725,607.1386050178613,time
68,32537.746178457164,0.018416374914120143,599.2273324829471,meet
60,33617.369072164955,0.017732828920158476,596.1310545025278,addit
436,15104.833333333336,0.038461538461538464,580.9551282051283,logic-consist-meet
111,27710.38056591357,0.020667865978940093,572.7144317617277,updat
133,26230.885960250824,0.021577093256673584,565.9862725695018,enforc
