,Old_WScore,Position_Weight,SCScore,Words
666,162528.93968314564,1.0003581661891117,162587.15205409232,classic-schedul-result
192,199827.74025454253,0.6718698246888338,134258.22881278532,real-time-system
62,248367.4266997519,0.45741826628912235,113607.7977236912,import
91,244107.7133265217,0.2817142565822136,68768.62298576518,classic-schedul-theori
78,246128.46284445602,0.211869078930419,52147.01072141476,result-real-time
186,200882.23219772306,0.1906591279187104,38300.03120518177,result
234,194635.8507164012,0.19000557538949173,36981.896806793025,comput
70,247135.9301945932,0.14422915815162374,35644.20716098463,implic-result
203,197750.1407434317,0.16335189801358066,32302.860822892275,design
48,250279.06079404464,0.09729893303137684,24351.88557535564,uni-processor
705,151243.71194762684,0.14673110280381121,22192.156646217245,identifi
21,255133.56687745138,0.08217506691281276,20965.617929859156,preemption
5,261550.5340501792,0.0746440328399781,19523.186652955388,address
181,202653.5638542199,0.09195970032060138,18635.961000935917,task
212,197150.93640130784,0.08786876621473193,17323.409539662003,multiprocessor
632,173435.84942716858,0.09159168909861687,15885.282399287753,discuss
26,254046.65272952852,0.05966613163397197,15157.981022930013,metric
183,201562.30258175352,0.07268181230035214,14649.913443073794,algorithm
54,249628.1097582088,0.05759216051587636,14376.622166469562,issu
639,170494.23735445694,0.08040912139503688,13709.291828588759,versu
878,113323.54752400475,0.1111111111111111,12591.505280444972,perspect
198,198894.81848912316,0.06330221567742784,12590.482697121339,resourc
209,197368.4870789181,0.06123920352571774,12086.688949788857,overload
241,193435.23821339948,0.06027979046501926,11660.235628054807,futur-releas-time
256,191568.86690392773,0.059635849384966154,11424.372093531261,dynam-schedul
230,194873.17555061608,0.05685436706246045,11079.39105338202,static
43,250814.33273178435,0.043740228313295756,10970.676177935176,multiprocess
182,202303.51827177068,0.05171567115611049,10462.262224667082,schedul
255,191657.9580872981,0.0543139863016611,10409.707710157845,schedul-algorithm
197,199131.56567677893,0.04827114508951201,9612.308698685485,system
66,248016.49193548388,0.038231419524320805,9482.022552135812,theorem
207,197576.15542857847,0.047897320947982186,9463.368528231036,applic
57,249390.0763627631,0.037715546588746596,9405.883043830863,literatur
45,250457.53846153844,0.037469574665365324,9384.537437888222,paper
36,252386.7666480984,0.03507506919008515,8852.483302843926,anomali
58,249235.3775257001,0.03513978318516136,8758.07712832494,static-schedul
30,253494.39619520266,0.03278744260519552,8311.4329659889,present
189,200431.00741953962,0.03995424146543326,8008.068867600332,problem
38,251978.1403877697,0.031760007716949576,8002.827683218169,work
15,256081.23711055968,0.030396276791543834,7783.916164333539,knowledg
193,199421.34857058414,0.034638369951583786,6907.6304480316385,deadlin
68,247925.12498851202,0.027749878368856777,6879.892063014822,requir
129,229378.4951102029,0.028441454184028443,6523.857959478228,introduct
35,252483.28436724565,0.025810848523617536,6516.807807548429,avoid
2,263120.8570524984,0.024504880038091252,6447.745037591229,case
56,249544.8518464458,0.024457582766942813,6103.26386809893,larg
184,201416.390963555,0.029979161789161036,6038.294571685328,time
223,195960.6210246969,0.030464250813444706,5969.793508454753,solut
59,248971.91110530673,0.023693780170248854,5899.0857302958775,section
857,117226.57009925556,0.05,5861.328504962778,preced-constraint-share
214,197010.62436195038,0.029249581051845813,5762.478225349617,line
187,200662.89379283172,0.02854948199916374,5728.821674238555,optim
202,197957.82051487293,0.02875442923443836,5692.1641413985635,complex
242,193136.36672844485,0.02944056136122057,5686.043055751979,oper
253,192024.65750666527,0.029206093782359797,5608.290155665186,theori
631,173748.55417700575,0.030935941695435367,5375.075141686043,exampl
47,250318.23633096606,0.020520379007523636,5136.625082006296,share-resourc
80,245987.87746159124,0.02083257634445908,5124.561237030045,implic
53,249940.26728110595,0.01994812906285505,4985.840709727989,provid
64,248062.5216026857,0.019998923086976598,4960.983290293582,static-dynam
13,256615.74064084585,0.018398714052345833,4721.399633381864,minim
1,265978.4020310633,0.01737170646772943,4620.49872683936,fact
228,195062.5195401733,0.023276340816183686,4540.341685280563,complet
75,246597.9203647065,0.018070029673467557,4456.031738405636,good
670,160622.70707786837,0.027605799734500922,4434.118284405038,hard
11,257178.5786925925,0.017075536898206966,4391.462309893787,exist
742,138635.86392752035,0.028992126930704968,4019.348564134612,actual
279,187120.07946603946,0.02124561901447328,3975.4819182934393,research
50,250045.8888568296,0.015877742331881727,3970.164194415077,defin
107,239484.23076923078,0.0162736714340598,3897.2876851770156,jackson-rule
52,250015.1255835471,0.015261615055325695,3815.634604665007,task-set
233,194662.9279473428,0.01943546746370365,3783.365002509869,process
316,182705.49100111445,0.02068337402042973,3778.966005962309,direct
710,150229.31939028713,0.025,3755.732984757178,familiar
265,189216.99454094292,0.019796559990152163,3745.845583586071,rare
208,197378.6471931974,0.01891709774458437,3733.8311616475485,simpl
12,256898.34780810587,0.014516033453844569,3729.1450110198625,assumpt
250,192130.26879052265,0.01933758356661322,3715.3351284125915,minimum
247,192458.4994366076,0.019236932041176505,3702.311074408827,real-time-schedul
206,197603.75509977894,0.018532582784233118,3662.10794986198,bound
41,250901.2109181141,0.014490025446675756,3635.5649308052343,set-task
231,194808.43155243862,0.018350846131066845,3574.8995524532684,make
199,198683.74329624587,0.017531963815378155,3483.316198173665,constraint
195,199254.36928987925,0.017288195706082678,3444.7485315755025,processor
7,258820.392386052,0.01314663062028353,3402.6160956962694,appli
226,195254.98335683372,0.017380192080996087,3393.569115513464,polynomi
49,250264.72476831925,0.013484564093995226,3374.7107216044756,occur
14,256162.9759238147,0.013165838282742004,3372.600315038878,minim-maximum-late
143,224174.16431114468,0.013763625932300632,3085.449341264694,comprehens
246,192666.1834955781,0.01560485885996764,3006.5286005371227,includ
34,252516.79006138173,0.011867971002433484,2996.861942076062,independ
649,168240.94263611152,0.017137096774193547,2883.1613153365884,choos
244,192917.3999224181,0.014642762831762808,2824.8437331843047,releas-time
215,196846.63593766355,0.014101512015274717,2775.8352018413707,earliest-deadlin-schedul
227,195079.3903293537,0.014050992752639779,2741.0590997071354,dynam
94,243729.88585607935,0.011225381567980615,2735.960968254852,situat
74,246680.72424557753,0.01101692278506081,2717.6624915764055,produc
159,216202.0305707196,0.012394453586112165,2679.7060331319876,type
131,228128.02385335788,0.011568829522107468,2639.1742171747633,richard-anomali
210,197335.34515944315,0.013188381882856986,2602.53389094813,gener
238,194024.12346606408,0.01326527943518368,2573.7842149439193,prioriti
23,254446.87758478086,0.009868186434292789,2510.9292256302924,show
111,238892.54264888336,0.010404015072665283,2485.4416144663164,maximum-late
37,252056.41162975802,0.009768526227838815,2462.2196679002277,deal
99,241986.5536030789,0.010116052645402737,2447.9487157283174,characterist
232,194789.40487288265,0.01235710223646204,2407.032590593808,analysi
46,250330.52109181145,0.009564038455791261,2394.17073038035,nonpreempt
27,254010.6262406948,0.009344644892344276,2373.6391011012797,comput-time
25,254117.3745279965,0.009178954507395328,2332.5318203312204,interest
647,169254.8272571101,0.013448981692965045,2276.305073226835,impact
651,168028.8927868572,0.013487231523761205,2266.244579697592,layland
211,197324.20208855424,0.010762027077833507,2123.6084059889117,perform
735,141258.66163771713,0.014875684787189212,2101.319323982897,choic
373,176938.02210692532,0.011698658688271087,2069.9375296066833,schedul-result
827,122705.12781796101,0.01681045680143289,2062.7292504981347,insight
90,244444.78149175303,0.00837727305780515,2047.7806821119298,block
8,258152.0266335815,0.007925286261804321,2045.9287101360667,worst-case
125,231878.2053349876,0.008710060876670197,2019.673284440774,task-miss-deadlin
31,253280.9275885405,0.007872767152856707,1994.0217671641399,period-task
873,114411.95668847286,0.017246506095747842,1973.2065084541853,grant
194,199351.83612040133,0.00985144279380882,1963.9032093808844,schedul-fix
0,267821.8660049628,0.007331715758735064,1963.5937955224167,obtain
