Name,IF,IFDenseRank,IFMinRank
histori,78596.39556962025,1.0,1.0
simul,71172.3417721519,2.0,2.0
weight,70429.53248945148,3.0,3.0
section,68332.32489451476,4.0,4.0
perform,68267.50632911392,5.0,5.0
show,68260.22253164557,6.0,6.0
number,67697.8178119349,7.0,7.0
accur,66106.41930379746,8.0,8.0
length,65987.5452079566,9.0,9.0
budget,65645.31848101265,10.0,10.0
time,65143.281645569616,11.0,11.0
tabl,64476.63080168776,12.0,12.0
benchmark,64049.19230769231,13.0,13.0
small,63681.935126582284,14.0,14.0
provid,63150.792151898735,15.0,15.0
techniqu,62395.13548992029,16.0,16.0
method,62361.49261603375,17.0,17.0
execut,62096.18248945147,18.0,18.0
mispredict,60824.61974683544,19.0,19.0
resourc,60314.971835443044,20.0,20.0
instruct,59973.02109704641,21.0,21.0
larg,59365.347046413495,22.0,22.0
found,59279.443037974685,23.0,23.0
condenc,58568.926160337556,24.0,24.0
requir,58548.57457347275,25.0,25.0
work,58472.31926863572,26.0,26.0
behavior,57889.509041591315,27.0,27.0
inform,57656.315928270036,28.0,28.0
amount,56465.39918625678,29.0,29.0
globalloc-perceptron-predictor,56036.718354430384,30.0,30.0
input,55886.562560856866,31.0,31.0
rate,55543.63572433192,32.0,32.0
function,55034.60564751705,33.0,33.0
introduc,54230.53797468353,34.0,34.0
long-histori-length,54197.071346375145,35.0,35.0
compar,54113.664832140894,36.0,36.0
linearli-separ-branch,54110.734177215185,37.0,37.0
exponenti,53592.722382048334,38.0,38.0
overrid,53102.10607594936,39.0,39.0
increas,53096.016613924054,40.0,40.0
spec,53050.73028237585,41.0,41.0
entri,52725.508860759495,42.0,42.0
global-histori,52416.133164556966,43.0,43.0
branch-histori,51374.17974683545,44.0,44.0
result,51063.89678675755,45.0,45.0
predic,50515.27848101266,46.0,46.0
cycl,50028.87262658228,47.0,47.0
figur-show,50017.64581304772,48.0,48.0
fetch,49843.32220943614,49.0,49.0
linearli-insepar-branch,49802.784810126584,50.0,50.0
smith-predictor,49449.40860759493,51.0,51.0
figur,48669.51797468355,52.0,52.0
differ,48583.342922899894,53.0,53.0
repres,47953.02531645571,54.0,54.0
similar,47453.17721518988,55.0,55.0
evalu,47449.54430379747,56.0,56.0
weak,47084.16510731976,57.0,57.0
point,47084.06586966713,58.0,58.0
yield,46533.89372362868,59.0,59.0
predictor,46501.65972382048,60.0,60.0
instruct-cycl,46236.06329113923,61.0,61.0
bit-counter,45682.04688232536,62.0,62.0
experiment,45625.056057866175,63.0,63.0
insepar-function,45539.28607594938,64.0,64.0
scale,45363.32373417722,65.0,65.0
global-local-histori,45153.76424050633,66.0,66.0
determin,45102.689873417716,67.0,67.0
advantag-perceptron-predictor,45081.10759493671,68.0,68.0
tabl-perceptron,45013.40981012658,69.0,69.0
byte,44985.33417721519,70.0,70.0
overrid-predictor,44798.73820483314,71.0,71.0
explor,44717.25113924051,72.0,72.0
averag,44639.335155350986,73.0,73.0
limit,44070.88607594937,74.0,74.0
longer-histori-length,44001.85601265822,75.0,75.0
ensembl,43959.345666991234,76.0,76.0
classic,43959.345666991234,76.0,76.0
clock-rate,43633.55350978136,77.0,78.0
predict,43552.5877263259,78.0,79.0
mcfarl-style-hybrid,43478.16455696202,79.0,80.0
separ,43442.919182083744,80.0,81.0
pipelin,43405.6635021097,81.0,82.0
previou,43141.109403254966,82.0,83.0
shown,43112.371216290594,83.0,84.0
give,43035.96868754164,84.0,85.0
output,42852.95136575616,85.0,86.0
singl-cycl,42803.34925201382,86.0,87.0
penalti,42584.35701956272,87.0,88.0
processor,42550.33924050633,88.0,89.0
make,42432.93117088607,89.0,90.0
linearli,42355.49145569621,90.0,91.0
branch,42344.74843775035,91.0,92.0
achiev,42309.7046413502,92.0,93.0
globalloc,42289.56962025316,93.0,94.0
perceptron-predict,42220.090415913204,94.0,95.0
properti,42202.00632911392,95.0,96.0
perceptron,42076.30908508252,96.0,97.0
scheme,42066.55789967182,97.0,98.0
independ,41952.8584579977,98.0,99.0
predictor-gshare,41815.1157323689,99.0,100.0
histori-length,41763.85350905304,100.0,101.0
methodolog,41757.59674502712,101.0,102.0
case,41727.762658227846,102.0,103.0
gener,41512.43734177215,103.0,104.0
insepar,41361.56202531647,104.0,105.0
larger,41225.093764650715,105.0,106.0
congur,41212.65822784809,106.0,107.0
comput,41117.078993751005,107.0,108.0
harmon,41098.3170310702,108.0,109.0
overrid-perceptron-predictor,40991.62162905889,109.0,110.0
train-time,40969.943741209565,110.0,111.0
encount,40850.21473779385,111.0,112.0
bit-histori,40846.5428973277,112.0,113.0
learn,40826.67635212888,113.0,114.0
alpha,40705.54254125942,114.0,115.0
specul,40674.4047116737,115.0,116.0
take,40670.404512933404,116.0,117.0
train,40660.935327963176,117.0,118.0
learn-linearli,40647.25998052581,118.0,119.0
interpret,40419.55063291139,119.0,120.0
gshare,40349.06228969716,120.0,121.0
effect,40117.237693389594,121.0,122.0
agre-mechan,40084.62428078251,122.0,123.0
accuraci,40071.380027239225,123.0,124.0
line,40008.50632911392,124.0,125.0
mispredict-rate-perceptron,39952.556962025315,125.0,126.0
abil,39920.4740506329,126.0,127.0
improv,39913.62762377824,127.0,128.0
design,39761.75392565294,128.0,129.0
perceptron-predictor-histori,39753.25151348376,129.0,130.0
delay,39708.871494952735,130.0,131.0
branch-outcom,39598.71075949368,131.0,132.0
branch-predictor,39518.706937990704,132.0,133.0
studi,39379.47248037173,133.0,134.0
perceptron-predictor-yield,39270.97072784809,134.0,135.0
dynam-branch,39230.83331998077,135.0,136.0
gshare-perceptron-predictor,39136.071080817914,136.0,137.0
test,39077.16624472574,137.0,138.0
index,39070.10294824547,138.0,139.0
relationship,39025.73417721519,139.0,140.0
long,38929.105592052554,140.0,141.0
level,38919.56271576525,141.0,142.0
agre,38874.88250863061,142.0,143.0
linearli-insepar-function,38865.56871609402,143.0,144.0
predict-perceptron,38652.94624258933,144.0,145.0
note,38630.89708310401,145.0,146.0
insepar-branch,38552.452717795975,146.0,147.0
base,38531.646210543186,147.0,148.0
branch-predict-scheme,38393.57454734818,148.0,149.0
hybrid-predictor,38393.41196777906,149.0,150.0
hardwar,38320.44664316616,150.0,151.0
variabl-length-path,38289.91139240507,151.0,152.0
neural-network,38176.20221118411,152.0,153.0
correl,37989.95281933256,153.0,154.0
rst-level,37960.14345991561,154.0,155.0
linear,37927.01462105432,155.0,156.0
latenc,37849.6038295145,156.0,157.0
reduc,37775.18366447685,157.0,158.0
analysi,37741.550833199806,158.0,159.0
perceptron-predictor-alpha,37716.01356238698,159.0,160.0
microprocessor,37639.22848902419,160.0,161.0
threshold,37519.778481012654,161.0,162.0
longer-histori-predictor,37511.39602169982,162.0,163.0
exist,37503.05696202532,163.0,164.0
hybrid,37469.22544464028,164.0,165.0
analyz,37387.81202531646,165.0,166.0
branch-behavior,37343.260695401375,166.0,167.0
valu,37241.58755274261,167.0,168.0
cost,37210.13215029642,168.0,169.0
wallac-tree,37209.56962025317,169.0,170.0
addit,37194.15330520394,170.0,171.0
perceptron-learn,37172.358427714855,171.0,172.0
mechanismforreducingneg,37101.6911392405,172.0,173.0
interfer,37101.6911392405,172.0,173.0
space,36987.55443037975,173.0,175.0
applic,36857.50680980612,174.0,176.0
alias,36777.29136939011,175.0,177.0
combin,36686.047654504844,176.0,178.0
respect,36662.71931755642,177.0,179.0
branch-predict-highli,36517.59493670886,178.0,180.0
clock,36511.22943037975,179.0,181.0
state,36481.45028841532,180.0,182.0
benchmark-figur,36457.7858649789,181.0,183.0
import,36440.649437412096,182.0,184.0
predictor-simul,36437.85368577811,183.0,185.0
static-branch,36349.720023014954,184.0,186.0
optim,36335.18907226406,185.0,187.0
describ,36325.64361334868,186.0,188.0
outcom,36315.09810126582,187.0,189.0
dynam,36264.473842332955,188.0,190.0
longer-histori-accur,36254.482345103264,189.0,191.0
quick,36169.33386075949,190.0,192.0
train-algorithm,36165.82278481012,191.0,193.0
path,36142.33848742189,192.0,194.0
address,36129.429174201316,193.0,195.0
impact,36028.139601025476,194.0,196.0
observ,35976.28955696203,195.0,197.0
idea,35974.67696202532,196.0,198.0
bar-show,35936.773734177215,197.0,199.0
branch-predict-understand,35888.69075468675,198.0,200.0
version-perceptron-predictor,35851.074683544306,199.0,201.0
understand,35815.52667841692,200.0,202.0
mechan,35760.04386316295,201.0,203.0
