Name,IF,IFDenseRank,IFMinRank
predic,28114.326836581706,1.0,1.0
gener,23441.66129032258,2.0,2.0
crisp,22074.304347826088,3.0,3.0
defin,21897.385869565216,4.0,4.0
properti,20169.090909090908,5.0,5.0
object,19510.392706872368,6.0,6.0
model,19278.803646563814,7.0,7.0
fuzzi,17946.31190926276,8.0,8.0
concept,17603.57437070938,9.0,9.0
spatial,17526.33520336606,10.0,10.0
region,17325.51606805293,11.0,11.0
level-region,16976.549407114624,12.0,12.0
boundari,16319.83860342556,13.0,13.0
case,15437.5,14.0,14.0
equal,14879.682274247494,15.0,15.0
complet,14647.859168241965,16.0,16.0
comput,14632.44851258581,17.0,17.0
spatial-object,14471.199604743082,18.0,18.0
topolog-relationship,14276.661991584853,19.0,19.0
yield,14135.733695652174,20.0,20.0
integr,13987.047619047617,21.0,21.0
special,13893.680124223602,22.0,22.0
base,13825.168665667166,23.0,23.0
oper,13777.914446002804,24.0,24.0
express,13566.254558204768,25.0,25.0
fulfil,13055.324534161491,26.0,26.0
crisp-region,12971.885869565216,27.0,27.0
fuzzi-quantifi,12778.995792426365,28.0,28.0
fuzzi-set,12755.934782608694,29.0,29.0
result,12716.83152173913,30.0,30.0
shown,12557.06010230179,31.0,31.0
assum,12555.813799621927,32.0,32.0
membership-function,12460.300140252453,33.0,33.0
type,12457.593167701863,34.0,34.0
make,12419.04347826087,35.0,35.0
topolog,12305.608695652172,36.0,36.0
inform,12287.692847124825,37.0,37.0
figur,12079.167601683028,38.0,38.0
section,12063.321070234113,39.0,39.0
determin,11909.017127799736,40.0,40.0
obtain,11864.012422360249,41.0,41.0
collect,11856.08695652174,42.0,42.0
fuzzi-topolog-predic,11648.33081285444,43.0,43.0
line,11566.702898550724,44.0,44.0
membership,11509.664596273291,45.0,45.0
demonstr,11493.444293478262,46.0,46.0
call,11383.173913043478,47.0,47.0
repres,11323.856332703213,48.0,48.0
exclus,11313.733133433283,49.0,49.0
point,11124.608695652174,50.0,50.0
approach,11069.576437587657,51.0,51.0
spatial-databas-system,11053.380084151473,52.0,52.0
point-set,11000.443064182193,53.0,53.0
vagu,10995.692816635159,54.0,54.0
applic,10950.271739130434,55.0,55.0
integr-queri-languag,10906.190217391304,56.0,56.0
valu,10877.465838509315,57.0,57.0
system,10765.125525946703,58.0,58.0
cover,10669.000472589792,59.0,59.0
present,10660.155193236715,60.0,60.0
show,10631.39751552795,61.0,61.0
definit-fuzzi,10626.581780538301,62.0,62.0
degre,10613.207466918713,63.0,63.0
insid,10471.319470699433,64.0,64.0
level,10423.083003952568,65.0,65.0
function,10320.725897920605,66.0,66.0
differ,10230.981693363843,67.0,67.0
relat,10153.730623818527,68.0,68.0
design,10121.706004140788,69.0,69.0
geograph-inform-system,10075.608695652174,70.0,70.0
spatial-queri-languag,10035.820476858346,71.0,71.0
form,10007.490118577076,72.0,72.0
area,9978.083175803402,73.0,73.0
compon,9963.48913043478,74.0,74.0
work,9931.304347826086,75.0,75.0
process,9760.427769985976,76.0,76.0
overlap,9702.47258979206,77.0,77.0
kind,9658.457271364316,78.0,78.0
transit,9611.394701086956,79.0,79.0
featur,9576.380764163374,80.0,80.0
queri,9532.382325141776,81.0,81.0
remain,9469.994565217392,82.0,82.0
number,9447.450210378682,83.0,83.0
paper,9403.246376811594,84.0,84.0
geometr,9388.782136105861,85.0,85.0
quantifi,9336.108695652174,86.0,86.0
fals,9314.755434782608,87.0,87.0
simpl-region,9258.954849498328,88.0,88.0
partit,9216.304347826088,89.0,89.0
evalu,9208.338008415145,90.0,90.0
