Name,IF,IFDenseRank,IFMinRank
messag,49417.22891566266,1.0,1.0
process,46829.55389124064,2.0,2.0
object,45640.41365461847,3.0,3.0
order,45342.67211703958,4.0,4.0
daemon,44604.638554216865,5.0,5.0
time,43534.91844300278,6.0,6.0
applic,42983.37349397591,7.0,7.0
scheme,42355.0843373494,8.0,8.0
oper,41720.89608433735,9.0,9.0
result,40564.69707401032,10.0,10.0
processor,40268.45734939759,11.0,11.0
access,40253.22150139018,12.0,12.0
present,39659.354958294716,13.0,13.0
synchron,39212.97822057461,14.0,14.0
receiv,38107.023632993514,15.0,15.0
disk,37910.06024096385,16.0,16.0
write,36842.656626506025,17.0,17.0
commun,36131.84578313253,18.0,18.0
take,35749.80166821131,19.0,19.0
state,35474.04633920296,20.0,20.0
case,35363.08950086058,21.0,21.0
replic,35335.93485051316,22.0,22.0
block,35216.71918443003,23.0,23.0
requir,34706.27710843374,24.0,24.0
silva,34475.52710843373,25.0,25.0
optim,34464.48746336698,26.0,26.0
perform-overhead,34415.66160293347,27.0,27.0
introduc,33929.06439551308,28.0,28.0
avoid,33656.80537534755,29.0,29.0
local,33413.94170229304,30.0,30.0
ownership,33235.82391102873,31.0,31.0
updat,33199.72977624785,32.0,32.0
checkpoint-scheme,33112.335341365455,33.0,33.0
work,32946.69565217391,34.0,34.0
approach,32859.01314348302,35.0,35.0
featur,32826.43975903615,36.0,36.0
exploit,32642.112588284173,37.0,37.0
model,32528.28084752804,38.0,38.0
problem,32478.73179675223,39.0,39.0
copi,32343.930722891564,40.0,40.0
applic-process,32284.33734939759,41.0,41.0
chang,32271.596848934194,42.0,42.0
execut,32227.696190166076,43.0,43.0
made,31618.95467584624,44.0,44.0
import,31391.974275480305,45.0,45.0
comput,31050.13025073266,46.0,46.0
share-object,30961.71514629948,47.0,47.0
depend,30750.09186746988,48.0,48.0
send,30734.237720111218,49.0,49.0
checkpoint-algorithm,30598.381024096383,50.0,50.0
gener,30554.357255107385,51.0,51.0
independ,30324.93975903614,52.0,52.0
failur,30299.61972891566,53.0,53.0
local-disk,30299.475903614457,54.0,54.0
includ,30258.975903614457,55.0,55.0
layer,30057.325301204823,56.0,56.0
global,29876.08466297623,57.0,57.0
complet,29871.28514056225,58.0,58.0
commit,29778.65662650602,59.0,59.0
maintain,29760.62329317269,60.0,60.0
figur,29708.07831325301,61.0,61.0
respons,29475.854958294716,62.0,62.0
solut,29215.292168674696,63.0,63.0
messag-log,29154.440963855424,64.0,64.0
propos,29027.05143651529,65.0,65.0
coordin,29026.650602409638,66.0,66.0
implement-top,28608.22839182818,67.0,67.0
assum,28436.656626506025,68.0,68.0
save,28403.07281299109,69.0,69.0
barrier,28362.3778313253,70.0,70.0
involv,28217.36329935125,71.0,71.0
write-checkpoint,28197.51916757941,72.0,72.0
assur,28173.68186258548,73.0,73.0
file,28144.30781189273,74.0,74.0
checkpoint,28141.995645231527,75.0,75.0
portabl,27997.03940084663,76.0,76.0
toler,27914.503012048193,77.0,77.0
stabl,27892.95843373494,78.0,78.0
mechan,27735.770510613886,79.0,79.0
latenc,27540.504016064253,80.0,80.0
recoveri-procedur,27484.88522511097,81.0,81.0
broadcast,27318.851754845466,82.0,82.0
semant,27309.322289156622,83.0,83.0
ensur,27308.994979919677,84.0,84.0
compos,27307.347080630218,85.0,85.0
system,27301.488459863554,86.0,86.0
phase,27297.66939759036,87.0,87.0
purpos,27281.34939759036,88.0,88.0
distribut-share-memori,27254.85121207723,89.0,89.0
adapt,27043.159638554214,90.0,90.0
main,27032.885280251438,91.0,91.0
expect,27002.90546802595,92.0,92.0
mean,26999.465060240967,93.0,93.0
total,26874.711367207965,94.0,94.0
occurr,26869.246987951807,95.0,95.0
provid,26746.792575708238,96.0,96.0
checkpoint-oper,26730.557359874278,97.0,97.0
central-file-server,26684.64578313253,98.0,98.0
underli,26598.354470513634,99.0,99.0
current,26583.960569550934,100.0,100.0
programm,26469.06024096386,101.0,101.0
achiev,26448.18858040859,102.0,102.0
signific,26443.503614457837,103.0,103.0
daemon-process,26400.169601482852,104.0,104.0
equal,26365.082146768895,105.0,105.0
show,26356.708063021317,106.0,106.0
minut,26297.003614457833,107.0,107.0
read,26218.715402149137,108.0,108.0
perman,26191.311746987954,109.0,109.0
readwrit-oper,26164.08481927711,110.0,110.0
similar,26132.78094194962,111.0,111.0
support,25937.53012048193,112.0,112.0
checkpoint-process,25870.82475355969,113.0,113.0
higher,25660.587453261316,114.0,114.0
locat,25654.213425129088,115.0,115.0
processor-failur,25590.50278035218,116.0,116.0
paper,25500.722891566267,117.0,117.0
effici,25360.457505698472,118.0,118.0
remot,25280.23401297498,119.0,119.0
limit,25232.41265060241,120.0,120.0
call,25205.68222891566,121.0,121.0
ethernet,25171.71084337349,122.0,122.0
dsmpi,25049.294527507624,123.0,123.0
interest,24976.649507119386,124.0,124.0
section,24946.21261516655,125.0,125.0
restart,24839.69660460022,126.0,126.0
protocol,24755.556684569605,127.0,127.0
model-consist,24743.551204819276,128.0,128.0
stabl-storag-implement,24585.3875502008,129.0,129.0
algorithm,24556.635215561037,130.0,130.0
make,24495.706462212485,131.0,131.0
wide,24472.85140562249,132.0,132.0
relat,24433.506024096387,133.0,133.0
compar,24429.10120481928,134.0,134.0
insid,24178.24984147114,135.0,135.0
fail,24151.693318729463,136.0,136.0
routin,23943.483781278963,137.0,137.0
literatur,23877.800344234078,138.0,138.0
orphan-messag,23864.048192771083,139.0,139.0
overhead,23804.43750907244,140.0,140.0
fact,23727.9016064257,141.0,141.0
observ,23701.718674698797,142.0,142.0
perform,23493.431847873424,143.0,143.0
level,23414.507270461156,144.0,144.0
factor,23267.265662650603,145.0,145.0
implement,23093.6877631006,146.0,146.0
characterist,23037.19879518072,147.0,147.0
manag,23015.183734939754,148.0,148.0
invalid,22998.07401032702,149.0,149.0
replic-data,22992.144578313255,150.0,150.0
interv,22814.924540266325,151.0,151.0
miss-messag,22757.484939759037,152.0,152.0
forc-checkpoint,22630.49014238773,153.0,153.0
recoveri,22548.190303382205,154.0,154.0
wait,22533.230010952902,155.0,155.0
program,22393.876034257515,156.0,156.0
tent-checkpoint,22366.897590361445,157.0,157.0
guarante,22358.088004190675,158.0,158.0
invoc,22347.749397590364,159.0,159.0
current-owner,22302.072289156626,160.0,160.0
point,22271.63855421687,161.0,161.0
back,22256.559571619808,162.0,162.0
roll,22256.559571619808,162.0,162.0
final,22100.94126506024,163.0,164.0
take-local-checkpoint,22083.0703868104,164.0,165.0
consist,22071.47046015387,165.0,166.0
static-distribut,21909.660068846813,166.0,167.0
distribut-system,21846.79518072289,167.0,168.0
shown,21845.51957831325,168.0,169.0
transit,21839.182818229438,169.0,170.0
concern,21775.731135066577,170.0,171.0
port,21707.76280120482,171.0,172.0
exist,21625.277108433736,172.0,173.0
potenti-miss-messag,21594.626506024095,173.0,174.0
checkpoint-distribut-share,21488.67469879518,174.0,175.0
data,21468.931049499206,175.0,176.0
separ,21464.463855421684,176.0,177.0
period,21457.909090909092,177.0,178.0
memori,21442.03948323414,178.0,179.0
distribut-stabl-storag,21436.19934282585,179.0,180.0
independ-checkpoint,21362.404565630943,180.0,181.0
allow,21355.300240963854,181.0,182.0
continu,21300.674698795185,182.0,183.0
machin,21287.117701575535,183.0,184.0
record,21276.223208623964,184.0,185.0
simpl,21030.528874117153,185.0,186.0
tune,20999.392771084338,186.0,187.0
identifi,20996.08877615726,187.0,188.0
easi,20880.49495278411,188.0,189.0
space,20879.643448795177,189.0,190.0
overhead-checkpoint,20871.644895370955,190.0,191.0
owner,20847.750695088045,191.0,192.0
directori,20803.67963419945,192.0,193.0
implement-block,20787.364457831325,193.0,194.0
sequenti-consist,20774.580572289153,194.0,195.0
consum,20641.854326396493,195.0,196.0
share,20641.226593119467,196.0,197.0
tabl,20627.758402029165,197.0,198.0
propag,20626.80722891566,198.0,199.0
forward,20607.77988878591,199.0,200.0
global-checkpoint,20547.7028596313,200.0,201.0
sender,20527.453241537576,201.0,202.0
addit,20438.433734939757,202.0,203.0
central-disk,20412.84008762322,203.0,204.0
base,20370.00261286108,204.0,205.0
sake,20345.342650602408,205.0,206.0
facil,20344.289156626503,206.0,207.0
exchang,20267.031325301203,207.0,208.0
intern,20264.813716404078,208.0,209.0
level-stabl-storag,20258.196385542167,209.0,210.0
coordin-checkpoint,20219.103788648572,210.0,211.0
interv-checkpoint,20195.78313253012,211.0,212.0
logic,20148.29572836802,212.0,213.0
tool,20058.975903614457,213.0,214.0
librari,20052.5922150139,214.0,215.0
kind,20034.536338904003,215.0,216.0
violat,19989.557429718872,216.0,217.0
strategi,19960.257287213368,217.0,218.0
class,19926.315443592553,218.0,219.0
encourag,19716.45113788487,219.0,220.0
option,19716.45113788487,219.0,220.0
messag-pass-program,19716.45113788487,219.0,220.0
parallel,19646.902308027293,220.0,223.0
structur,19581.93119465815,221.0,224.0
collect,19462.920557228917,222.0,225.0
size,19455.416613823712,223.0,226.0
high,19441.33909130498,224.0,227.0
version,19366.305375347547,225.0,228.0
rollback,19330.686166352156,226.0,229.0
promis,19234.01703365185,227.0,230.0
checkpoint-mechan,19231.71395258453,228.0,231.0
interact,19151.65301204819,229.0,232.0
miss,19143.530873493975,230.0,233.0
scenario,19103.724096385544,231.0,234.0
workstat,19071.35680069676,232.0,235.0
increment,19047.67533291059,233.0,236.0
initi,19037.58232931727,234.0,237.0
flexibl,18970.009768804946,235.0,238.0
migrat,18947.664457831324,236.0,239.0
previou,18925.906233630172,237.0,240.0
classifi,18918.466593647317,238.0,241.0
