Name,IF,IFDenseRank,IFMinRank
neuron,41616.49643874644,1.0,1.0
neuromata,40101.845167652864,2.0,2.0
construct,39295.35353535353,3.0,3.0
state,37347.64102564102,4.0,4.0
neuromaton,36781.666666666664,5.0,5.0
string,36403.692307692305,6.0,6.0
input,35906.45657568238,7.0,7.0
gener,35537.00591715977,8.0,8.0
size,35128.91666666667,9.0,9.0
weight,32253.05555555555,10.0,10.0
languag,31792.292803970224,11.0,11.0
function,31141.17948717949,12.0,12.0
theorem,30909.888888888887,13.0,13.0
case,30737.824074074066,14.0,14.0
network,30571.339907955287,15.0,15.0
definit,30561.53846153846,16.0,16.0
result,30327.896581196583,17.0,17.0
neural-acceptor,30220.784770784772,18.0,18.0
denot,29580.6,19.0,19.0
defin,29026.073614557485,20.0,20.0
output-neuron,28609.171597633136,21.0,21.0
prove,28142.24069478908,22.0,22.0
section,27919.90675990676,23.0,23.0
proof,27865.818803418802,24.0,24.0
binari,27846.19921104537,25.0,25.0
iter,27824.547692307693,26.0,26.0
comput,27126.325443786984,27.0,27.0
length,26921.26613616269,28.0,28.0
relev,26781.654234654237,29.0,29.0
acceptor,26380.43247863248,30.0,30.0
complet,26010.79881656805,31.0,31.0
recognit,25928.3885003885,32.0,32.0
recogn,25748.436883629194,33.0,33.0
output,25611.199999999997,34.0,34.0
consist,25125.055384615385,35.0,35.0
hopfield,24831.41137123746,36.0,36.0
compar,24600.198480531813,37.0,37.0
hopfield-neuromaton,24465.146853146856,38.0,38.0
realiz,24113.32711732712,39.0,39.0
number,23659.81662781663,40.0,40.0
studi,23103.454545454548,41.0,41.0
idea,22965.119658119656,42.0,42.0
exist,22858.524786324786,43.0,43.0
start,22835.87758478081,44.0,44.0
show,22831.985754985755,45.0,45.0
order,22115.266272189347,46.0,46.0
time,22057.074074074073,47.0,47.0
mean,22038.797524314767,48.0,48.0
effici,21890.92702169625,49.0,49.0
architectur,21738.511166253098,50.0,50.0
formal,21703.38264299803,51.0,51.0
encod,21665.510769230772,52.0,52.0
constant,21535.23573200992,53.0,53.0
part,21517.10769230769,54.0,54.0
requir,21416.770999115826,55.0,55.0
signal,21317.132867132867,56.0,56.0
subnetwork,21210.683431952664,57.0,57.0
achiev,20919.22485207101,58.0,58.0
hand,20900.86557886558,59.0,59.0
regular,20874.18934911243,60.0,60.0
introduc,20826.976331360947,61.0,61.0
equival,20778.954907161802,62.0,62.0
integ,20614.35794871795,63.0,63.0
polynomi,20605.59829059829,64.0,64.0
lead,20525.69435897436,65.0,65.0
obtain,20505.4358974359,66.0,66.0
figur,20209.57816377171,67.0,67.0
fact,19990.05006105006,68.0,68.0
cycl,19914.70384615385,69.0,69.0
comparison,19878.949743589747,70.0,70.0
respect,19875.8141025641,71.0,71.0
previou,19815.887667887666,72.0,72.0
symbol,19614.40559440559,73.0,73.0
converg,19584.29358974359,74.0,74.0
call,19539.30769230769,75.0,75.0
mention,19286.9,76.0,76.0
special,19225.97270471464,77.0,77.0
least,19216.717171717173,78.0,78.0
substr,19152.67076923077,79.0,79.0
assum,19080.59829059829,80.0,80.0
posit,18975.24717948718,81.0,81.0
parallel,18895.45299145299,82.0,82.0
similar,18862.09829059829,83.0,83.0
optim,18746.68842268842,84.0,84.0
symmetr,18741.901098901097,85.0,85.0
present,18684.61693861694,86.0,86.0
concaten,18519.843454790822,87.0,87.0
neural,18489.38856015779,88.0,88.0
match,18376.15318869165,89.0,89.0
lemma,18119.5,90.0,90.0
call-hopfield,17956.916387959864,91.0,91.0
descript,17938.899766899765,92.0,92.0
simul,17841.459566074947,93.0,93.0
time-step,17818.888888888887,94.0,94.0
connect,17797.505982905983,95.0,95.0
architectur-neural-network,17710.983277591975,96.0,96.0
orient-path,17670.989966555186,97.0,97.0
vector,17645.314685314683,98.0,98.0
threshold,17587.641025641027,99.0,99.0
properti,17455.306410256413,100.0,100.0
shown,17333.3371320038,101.0,101.0
condit,17217.161538461543,102.0,102.0
correct,17159.426847662144,103.0,103.0
express,17053.56721056721,104.0,104.0
exploit,17051.999999999996,105.0,105.0
purpos,17012.32754342432,106.0,106.0
class-hopfield-languag,16988.421052631576,107.0,107.0
hopfield-neuromata,16981.84392419175,108.0,108.0
employ,16785.641025641027,109.0,109.0
finit-automata,16694.695595003286,110.0,110.0
view,16475.101679929263,111.0,111.0
connect-neuron,16401.357466063346,112.0,112.0
remain,16344.529914529912,113.0,113.0
desir,16284.042735042734,114.0,114.0
problem,16272.72255095332,115.0,115.0
jffj,16197.728937728936,116.0,116.0
finit,16193.996055226824,117.0,117.0
theta,16093.884615384615,118.0,118.0
recogn-neuromaton,16031.23076923077,119.0,119.0
compar-neuron,16029.976068376069,120.0,120.0
work,16014.544871794871,121.0,121.0
impli,15961.465201465198,122.0,122.0
arbitrari,15887.460188933872,123.0,123.0
descript-power,15830.758241758242,124.0,124.0
investig,15796.0,125.0,125.0
read,15784.747252747251,126.0,126.0
network-comput,15710.822564102566,127.0,127.0
accept,15704.723865877711,128.0,128.0
suffici-larg,15496.194331983803,129.0,129.0
type,15455.384615384617,130.0,130.0
appear,15274.721794871795,131.0,131.0
suppress,15244.538461538461,132.0,132.0
subexpress,15234.137362637364,133.0,133.0
network-input,15193.040293040292,134.0,134.0
paper,15145.931623931625,135.0,135.0
regular-languag-regular,15139.397047397048,136.0,136.0
standard-techniqu,14951.300248138956,137.0,137.0
formal-definit,14948.545787545787,138.0,138.0
languag-recognit,14898.066239316237,139.0,139.0
includ,14867.564102564102,140.0,140.0
step,14767.211538461537,141.0,141.0
final,14731.174089068825,142.0,142.0
rule,14703.289173789173,143.0,143.0
subclass-regular,14629.226495726494,144.0,144.0
activ,14538.99689199689,145.0,145.0
repres,14492.013986013986,146.0,146.0
correspond,14473.803970223325,147.0,147.0
design,14461.50821827745,148.0,148.0
edg-lead,14405.581196581194,149.0,149.0
symmetr-neural-network,14345.302118171681,150.0,150.0
recurr-neural-network,14339.65811965812,151.0,151.0
oper,14254.875457875456,152.0,152.0
origin,14240.216783216783,153.0,153.0
gamma,14228.086021505374,154.0,154.0
enabl,14219.318488529012,155.0,155.0
constant-time-delay,14195.50641025641,156.0,156.0
graph,14135.16046319272,157.0,157.0
discret,14129.431295200524,158.0,158.0
input-bit,14117.128205128203,159.0,159.0
pspace,14100.152820512822,160.0,160.0
concept,13999.014492753622,161.0,161.0
lower-bound,13989.992877492876,162.0,162.0
part-input-string,13985.758082497212,163.0,163.0
valu,13961.923076923076,164.0,164.0
length-regular-express,13942.657342657343,165.0,165.0
ident,13940.170940170941,166.0,166.0
clock,13925.510921177587,167.0,167.0
transform,13876.965034965036,168.0,168.0
complement,13853.865641025639,169.0,169.0
hopfield-network,13839.379217273954,170.0,170.0
transit,13837.571906354515,171.0,171.0
input-neuron-inp,13756.438461538464,172.0,172.0
subsequ,13748.205128205129,173.0,173.0
